Species,Length,Notes,ERR Format
Zea,~300,variable lengths,
Vitis,302,,
Solanum,500,,Y
Santiria,302,,Y
Rothmania,302,,Y
Pylaisiella,602,,
Populus,~250,variable lengths,Y
Pinus_flexili,~302,,
Pinus_flexili,602,,
Paeonia_suffruticose ,~442,,
Paeonia_rockii ,~442,,
Oryza,500,,
Orchid,302,,
Microdesmis,302,,Y
Grimmia,602,,
Espeletia,~250,variable lengths,
Cratoneuron,602,,
Chladophora,602,,
Bryum,602,,
Brassica_oleracea,~500,,
Brassica_napus,300,,
Aloe,~300,,
